License Number,Street Number,Street Name,City,State,Zip Code,Square Footage
702938,3334,FULTON ST                   ,BROOKLYN          ,NY,11208,2000
671864,657,VANDERBILT AVE               ,BROOKLYN          ,NY,11238,1200
703648,1920,CHURCH AVE                  ,BROOKLYN          ,NY,11226,2000
707409,7813,5TH AVE                     ,BROOKLYN          ,NY,11209,3000
708026,61,COMMERCE ST               ,BROOKLYN          ,NY,11231,2000
708196,1426,BEDFORD AVE                 ,BROOKLYN          ,NY,11216,3000
707828,149,HAVEMEYER ST                 ,BROOKLYN          ,NY,11211,600
615750,2402,86TH ST                     ,BROOKLYN          ,NY,11214,4000
702048,731,HEGEMAN AVE                  ,BROOKLYN          ,NY,11207,800
712776,4317,18TH AVE                    ,BROOKLYN          ,NY,11218,1500
708553,1622,VOORHIES AVE                ,BROOKLYN          ,NY,11235,1200
710853,801,WASHINGTON AVE               ,BROOKLYN          ,NY,11238,0
710163,373,KNICKERBOCKER AVE            ,BROOKLYN          ,NY,11237,4000
704535,5624,7TH AVE                     ,BROOKLYN          ,NY,11220,2000
670007,5303,AVENUE N                    ,BROOKLYN          ,NY,11234,1500
711390,4710,16TH AVE                    ,BROOKLYN          ,NY,11204,1600
15003,1092,RT 9                        ,COLONIE           ,NY,12047,2400
711456,2021,CHURCH AVE                  ,BROOKLYN          ,NY,11226,500
714097,3919,5TH AVENUE                  ,BROOKLYN          ,NY,11232,1000
708190,230,4TH AVE                      ,BROOKLYN          ,NY,11215,1000
711726,993,FLATBUSH AVE             ,BROOKLYN          ,NY,11226,1000
705545,1339,FULTON ST                   ,BROOKLYN          ,NY,11216,4500
709245,699,MANHATTAN AVE                ,BROOKLYN          ,NY,11222,1600
711570,1801,AVENUE U                    ,BROOKLYN          ,NY,11229,1000
714949,146A,NASSAU AVE                  ,BROOKLYN          ,NY,11222,1600
702391,607,CRESCENT ST                  ,BROOKLYN          ,NY,11208,1000
670633,406,COURT ST                     ,BROOKLYN          ,NY,11231,1000
708402,630,FLUSHING AVE                 ,BROOKLYN          ,NY,11206,0
670534,992,CONEY ISLAND AVE             ,BROOKLYN          ,NY,11230,1000
710818,8022,20TH AVE                    ,BROOKLYN          ,NY,11214,1500
703442,777,PARK AVE                     ,BROOKLYN          ,NY,11206,3000
708764,111,LAWRENCE ST                  ,BROOKLYN          ,NY,11201,6000
710183,2845,CONEY ISLAND AVE            ,BROOKLYN          ,NY,11235,0
705823,1391,E 4TH ST                ,BROOKLYN          ,NY,11230,200
708818,103,HEDGEMAN AVE                 ,BROOKLYN          ,NY,11212,5000
703702,477,MYRTLE AVE                   ,BROOKLYN          ,NY,11205,600
706206,429,COURT ST                     ,BROOKLYN          ,NY,11231,1200
670540,455,SUTTER AVE                   ,BROOKLYN          ,NY,11212,12000
670803,604,WYONA ST                     ,BROOKLYN          ,NY,11207,0
704306,3033,CONEY ISLAND AVENUE         ,BROOKLYN          ,NY,11235,1200
